Southern California,RT @trevor_thrall: Congress votes tomorrow on whether to block Trump's arms deal with KSA. My latest on it up @CatoInstitute https://t.co/v…,,en,,laughterhopesok,13-01-2015 19:27,07-06-2017 23:52,0,0.5,0.9
,@JoyAnnReid Trump may have a crush on him.,,en,,116deerfield,16-08-2011 13:25,07-06-2017 23:52,0,0,0
united states,"RT @mmpadellan: Heard on NYC streets:
✅Hey, watch it asshole!
✅Can you please spare some...
✅F*ck trump!

Not heard:
❌Need u to squ… ",,en,,farbiez,02-07-2012 22:43,07-06-2017 23:52,0,0,0
"Los Angeles, CA",RT @dwnews: German NGO seeks arrest warrant for Donald Trump's deputy CIA director over 'enhanced interrogation' practices… ,,en,,17738,09-12-2010 15:24,07-06-2017 23:52,0,-0.025,0
,RT @tedlieu: These poll numbers for @realDonaldTrump are starting to look like Nixon numbers. #WednesdayWisdom https://t.co/eBPtUusp8c,,en,,davis_laineyd,08-01-2013 01:28,07-06-2017 23:52,0,0,0.1
"Lafayette, LA","RT @DLin71: Locker room talk = I committed sexual assault

New York City talk = I’m obstructing a federal investigation https://t.co/KDycK6…",,en,,iancrubin,09-06-2009 00:38,07-06-2017 23:52,0,0.318181818,0.643939394
Texas,RT @Lrihendry: The left keeps throwing it out there  Trump/Russia collusion is another Watergate. The ONLY similarity is the leaking! #Come…,,en,,Sofia07978954,22-01-2017 04:10,07-06-2017 23:52,0,0,0.5
,WHAT DOES IT TAKE FOR THE WOMEN OF TEXAS TO GET IT-- oh well tump thing is fun- - oh well at least trump will be one term president -,,en,,ajberk,28-06-2011 05:41,07-06-2017 23:52,0,0,0.3
,RT @PoliticsPeach: Trump asked 4loyalty from #Comey an Obama holdover  &amp; MSM goes wild. Bill Clinton meets w/Lynch &amp;next wk his wife's chrg…,,en,,3AnarchyPillars,29-02-2016 21:05,07-06-2017 23:52,0,0.1,0.4
,RT @AMike4761: Sadiq Khan's Anti-Trump Attitude Gets DESTROYED By Queen Elizabeth as she confirms her Personal Invitation to Trump https://…,,en,,WilliamMauldin9,22-03-2016 03:37,07-06-2017 23:52,0,0,0.3
"Los Angeles, CA","RT @longwall26: Comey: He's guilty
Democrats: He's guilty
Trump: I'm guilty
Republicans: We may never get to the bottom of this",,en,,craigkoenewho,26-03-2009 12:36,07-06-2017 23:52,0,-0.5,1
"Mississippi, USA","RT @nytimes: Hawaii became the first state to pass a law committing to the Paris climate accord, defying President Trump https://t.co/qASEG…",,en,,ruthyvonnestory,02-12-2015 22:48,07-06-2017 23:52,0,0.25,0.333333333
"Olympia, WA","Our illustrious God Cheeto not have a plan, but the Kochs have a plan, the DeVoses has plans, Steve Bannon has plans https://t.co/HpT0rrOAzW",,en,,LordZedd15,20-06-2015 05:40,07-06-2017 23:52,0,0,0
